Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),Molecular weight (g mol-1)
2334,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc4cc(OC)ccc4c3)n2)cc1,CC(C)=O,314.7214073391334,445.0,9.35709087176389,41.4 %,4.262298364716259,526.6342
2335,COc1ccc2cc(/C=C/c3nc(/C=C/c4ccc(N(C)C)cc4)cc(/C=C/c4ccc(N(C)C)cc4)n3)ccc2c1,CC(C)=O,807.6858081521207,565.0,6.83090069901554,43.8 %,1.7068706341333946,552.71984
2336,COc1ccc2cc(/C=C/c3nc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)n3)ccc2c1,CC(C)=O,702.9778652536071,558.0,2.094210402506289,96.7 %,6.475758235204218,801.00336
2337,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,CC(C)=O,780.3366663804522,452.0,1.8955648818233506,91.7 %,5.276612714615034,514.5455
2338,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,CC(C)=O,1012.2502604970565,565.0,2.284193097714446,13.4 %,3.1189555912377434,540.63114
2339,FC(F)(F)c1ccc(/C=C/c2nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CC(C)=O,139.7352694830028,567.0,5.260414198273576,55.1 %,5.030346436351207,788.91466
2340,COc1ccc(/C=C/c2nc(/C=C/c3ccc(N(C)C)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CC(C)=O,398.03259358690224,571.0,6.200435672429987,57.6 %,3.4440227408804835,626.80172
2341,COc1ccc(/C=C/c2cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)nc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CC(C)=O,387.65380006643306,452.0,2.729896681919743,66.7 %,4.040693982810591,626.80172
2342,CN(C)c1ccc(/C=C/c2ccnc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CC(C)=O,686.4207015081703,523.0,4.267846455924339,2.7 %,3.177020513651035,370.49844
2343,C(=C/c1ccnc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CC(C)=O,1040.0960231875672,531.0,5.223212538288598,3.9 %,4.884964523250118,618.78196
2344,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccccc3)n2)cc1,CC#N,578.0772487342458,470.0,11.10082091398588,47.0 %,1.2729510738424206,446.54844
2345,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccccc3)n2)cc1,CC#N,182.36573564067535,587.0,13.251029156910619,61.0 %,4.263793410447012,472.63408
2346,C(=C/c1nc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1)\c1ccccc1,CC#N,957.4951658252202,591.0,2.5508314987537686,56.7 %,3.4046107806745938,720.9176
2347,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc(OC)cc3)n2)cc1,CC#N,565.4580164767618,453.0,13.806743852681963,15.3 %,1.8112051759559276,476.57432
2348,COc1ccc(/C=C/c2nc(/C=C/c3ccc(N(C)C)cc3)cc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CC#N,402.11515946480694,581.0,2.7570166093335127,99.3 %,6.470413581009481,502.65996
2349,COc1ccc(/C=C/c2nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CC#N,598.1983885073363,583.0,6.672318586096154,82.6 %,2.1663694553513477,750.94348
2350,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CC#N,195.5691521710526,577.0,9.439078003338645,99.5 %,5.14829915071617,515.70278
2351,CN(C)c1ccc(/C=C/c2nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CC#N,588.1030106929935,574.0,11.493007503863579,59.0 %,5.512118368507628,763.9863
2352,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CC#N,823.7972551479374,627.0,1.7215167172969523,1.9 %,4.701088989090474,613.7589
2353,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CC#N,879.8317327130572,584.0,8.20610465404711,6.3 %,3.8115790118265935,639.84454
2354,C(=C/c1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)nc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CC#N,743.2085730611223,589.0,3.891449562183128,68.0 %,1.9906118714870336,888.12806
2355,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc4cc(OC)ccc4c3)n2)cc1,CC#N,319.92056456964156,463.0,2.9946053476753782,44.5 %,5.242870042494768,526.6342
2356,COc1ccc2cc(/C=C/c3nc(/C=C/c4ccc(N(C)C)cc4)cc(/C=C/c4ccc(N(C)C)cc4)n3)ccc2c1,CC#N,357.7458086641892,586.0,9.469797655823275,7.0 %,5.0436074565673295,552.71984
2357,COc1ccc2cc(/C=C/c3nc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)n3)ccc2c1,CC#N,685.469063126282,586.0,7.355407425781836,46.2 %,3.3846113973918555,801.00336
2358,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,CC#N,399.8909887998067,463.0,4.60242541438742,2.4 %,2.465767775858894,514.5455
2359,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,CC#N,974.9921617808408,587.0,5.640417845222982,36.6 %,4.019088647750057,540.63114
2360,FC(F)(F)c1ccc(/C=C/c2nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CC#N,328.1732360487529,600.0,4.495682035824522,56.6 %,5.51580746353449,788.91466
2361,COc1ccc(/C=C/c2nc(/C=C/c3ccc(N(C)C)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CC#N,407.7721545436189,594.0,9.3712566664272,14.0 %,3.1693487934265887,626.80172
2362,COc1ccc(/C=C/c2cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)nc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CC#N,488.25401737216697,463.0,8.378004431889014,65.1 %,2.4112905497004284,626.80172
2363,CN(C)c1ccc(/C=C/c2ccnc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CC#N,709.6653438416915,513.0,2.247947814429323,75.9 %,4.559174595137262,370.49844
2364,C(=C/c1ccnc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CC#N,634.0187195018585,546.0,4.18231906213547,45.4 %,6.3091250920709925,618.78196
2365,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccccc3)n2)cc1,CS(C)=O,383.4537474402621,471.0,1.2679994993594108,65.1 %,2.483170368577687,446.54844
2366,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccccc3)n2)cc1,CS(C)=O,649.6898161801067,601.0,7.720375426863183,90.8 %,5.21166097081212,472.63408
2367,C(=C/c1nc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1)\c1ccccc1,CS(C)=O,164.48292746843777,596.0,9.739306723364328,79.1 %,5.010738544516235,720.9176
2368,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc(OC)cc3)n2)cc1,CS(C)=O,943.6714894769713,461.0,13.96827856883009,39.6 %,3.4572845127876533,476.57432
2369,COc1ccc(/C=C/c2nc(/C=C/c3ccc(N(C)C)cc3)cc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CS(C)=O,380.9538382551402,598.0,12.035321481626724,96.9 %,5.219808870355799,502.65996
2370,COc1ccc(/C=C/c2nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CS(C)=O,266.9470217424668,584.0,4.188689343097216,32.7 %,5.717622282976702,750.94348
2371,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CS(C)=O,483.0932954533329,601.0,6.708878156228038,63.1 %,5.028236762572023,515.70278
2372,CN(C)c1ccc(/C=C/c2nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CS(C)=O,421.18063190481394,577.0,5.103212581524683,83.2 %,5.364920281214254,763.9863
2373,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CS(C)=O,1017.9011473397367,622.0,6.36257971750036,10.2 %,2.394484321595432,613.7589
2374,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CS(C)=O,428.05988143854466,596.0,7.296995320699092,44.8 %,2.846771553901632,639.84454
2375,C(=C/c1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)nc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CS(C)=O,507.9893310658815,586.0,4.89667165730895,20.4 %,3.483249636500568,888.12806
2376,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc4cc(OC)ccc4c3)n2)cc1,CS(C)=O,166.689520382774,471.0,11.47449051426343,69.7 %,4.7504817385857745,526.6342
2377,COc1ccc2cc(/C=C/c3nc(/C=C/c4ccc(N(C)C)cc4)cc(/C=C/c4ccc(N(C)C)cc4)n3)ccc2c1,CS(C)=O,229.97794074679564,597.0,10.816561930976077,32.9 %,3.919619941373198,552.71984
2378,COc1ccc2cc(/C=C/c3nc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)n3)ccc2c1,CS(C)=O,184.17620923058536,585.0,3.6531849260568605,3.4 %,1.2155871456092293,801.00336
2379,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,CS(C)=O,977.5671042699277,475.0,10.54621268240832,0.4 %,3.319148668277373,514.5455
2380,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)nc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,CS(C)=O,328.2288086562159,592.0,8.419247369521528,77.3 %,3.3184390926051965,540.63114
2381,FC(F)(F)c1ccc(/C=C/c2nc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CS(C)=O,286.80817152648854,599.0,10.190782693846424,31.0 %,5.240762790980621,788.91466
2382,COc1ccc(/C=C/c2nc(/C=C/c3ccc(N(C)C)cc3)cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)n2)cc1,CS(C)=O,995.3325585562808,589.0,1.3197158065598467,25.0 %,2.298938369143188,626.80172
2383,COc1ccc(/C=C/c2cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)nc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CS(C)=O,812.1832983614659,485.0,1.9927715422637293,2.9 %,2.867955475609726,626.80172
2384,CN(C)c1ccc(/C=C/c2ccnc(/C=C/c3ccc(N(C)C)cc3)n2)cc1,CS(C)=O,204.09940595937616,527.0,13.576437943144423,43.8 %,2.4499766135936456,370.49844
2385,C(=C/c1ccnc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)n1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CS(C)=O,1037.0179138996884,547.0,7.968624319822254,8.3 %,5.046130256914157,618.78196
2386,CON(OC)c1cc2c3cc(-c4c(C)cc(C)cc4C)cc4c5cc(-c6c(C)cc(C)cc6C)cc6c7cc(B(c8c(C)cc(C)cc8C)c8c(C)cc(C)cc8C)cc8c9cc(-c%10c(C)cc(C)cc%10C)cc%10c%11cc(-c%12c(C)cc(C)cc%12C)cc%12c(c1)c2c1c(c43)c(c65)c(c78)c(c9%10)c1c%11%12,CCCCCC,453.0,490.0,7.5084015933253125,0.22,1.3008364273538906,1318.56096
2387,CON(OC)c1cc2c3cc(-c4c(C)cc(C)cc4C)cc4c5cc(-c6c(C)cc(C)cc6C)cc6c7cc(B(c8c(C)cc(C)cc8C)c8c(C)cc(C)cc8C)cc8c9cc(-c%10c(C)cc(C)cc%10C)cc%10c%11cc(-c%12c(C)cc(C)cc%12C)cc%12c(c1)c2c1c(c43)c(c65)c(c78)c(c9%10)c1c%11%12,Cc1ccccc1,461.0,510.0,7.878700348099568,0.42,5.410842343460546,1318.56096
2388,CON(OC)c1cc2c3cc(-c4c(C)cc(C)cc4C)cc4c5cc(-c6c(C)cc(C)cc6C)cc6c7cc(B(c8c(C)cc(C)cc8C)c8c(C)cc(C)cc8C)cc8c9cc(-c%10c(C)cc(C)cc%10C)cc%10c%11cc(-c%12c(C)cc(C)cc%12C)cc%12c(c1)c2c1c(c43)c(c65)c(c78)c(c9%10)c1c%11%12,ClC(Cl)Cl,449.0,545.0,8.662679186328024,0.46,4.823463962001895,1318.56096
2389,CON(OC)c1cc2c3cc(-c4c(C)cc(C)cc4C)cc4c5cc(-c6c(C)cc(C)cc6C)cc6c7cc(B(c8c(C)cc(C)cc8C)c8c(C)cc(C)cc8C)cc8c9cc(-c%10c(C)cc(C)cc%10C)cc%10c%11cc(-c%12c(C)cc(C)cc%12C)cc%12c(c1)c2c1c(c43)c(c65)c(c78)c(c9%10)c1c%11%12,C1CCOC1,452.0,591.0,5.950032872951988,0.46,2.4934660868842737,1318.56096
2390,CON(OC)c1cc2c3cc(-c4c(C)cc(C)cc4C)cc4c5cc(-c6c(C)cc(C)cc6C)cc6c7cc(B(c8c(C)cc(C)cc8C)c8c(C)cc(C)cc8C)cc8c9cc(-c%10c(C)cc(C)cc%10C)cc%10c%11cc(-c%12c(C)cc(C)cc%12C)cc%12c(c1)c2c1c(c43)c(c65)c(c78)c(c9%10)c1c%11%12,ClCCl,450.0,585.0,8.431003814395005,0.56,4.442205442062051,1318.56096
2391,CON(OC)c1cc2c3cc(-c4c(C)cc(C)cc4C)cc4c5cc(-c6c(C)cc(C)cc6C)cc6c7cc(B(c8c(C)cc(C)cc8C)c8c(C)cc(C)cc8C)cc8c9cc(-c%10c(C)cc(C)cc%10C)cc%10c%11cc(-c%12c(C)cc(C)cc%12C)cc%12c(c1)c2c1c(c43)c(c65)c(c78)c(c9%10)c1c%11%12,CC(C)=O,445.0,615.0,6.774190486267625,0.05,3.4991418820520135,1318.56096
2392,C[Si]1(C)C(c2ccccc2)=Cc2ccccc21,ClCCl,333.0,390.0,9.84532077393231,0.55,4.176091259,236.38904
2393,C1=C(c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc21,ClCCl,338.0,400.0,9.169877764606431,0.91,4.113943352,360.5308
2394,FC(F)(F)c1ccc(C2=Cc3ccccc3[Si]2(c2ccccc2)c2ccccc2)cc1,ClCCl,336.0,401.0,6.197507305392817,0.26,4.146128036,428.52786
2395,COc1ccc(C2=Cc3ccccc3[Si]2(c2ccccc2)c2ccccc2)cc1,ClCCl,350.0,418.0,3.61683608990437,0.99,4.204119983,390.55668
2396,C1=C(c2ccccn2)[Si](c2ccccc2)(c2ccccc2)c2ccccc21,ClCCl,339.0,395.0,4.678523408950902,0.41,4.146128036,361.51886
2397,c1ccc(C2=C(c3ccccn3)[Si](c3ccccc3)(c3ccccc3)c3ccccc32)cc1,ClCCl,339.0,406.0,4.161512999955241,0.004,4.204119983,437.61662
2398,C[Si]1(C)C(c2ccccc2)=Cc2ccccc21,C[Si]1(C)C(c2ccccc2)=Cc2ccccc21,417.1862074287998,406.0,4.103029308876101,0.46,5.873640459197095,236.38904
2399,C1=C(c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc21,C1=C(c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc21,203.4681848911762,410.0,6.746688322333024,0.78,6.102273900118278,360.5308
2400,FC(F)(F)c1ccc(C2=Cc3ccccc3[Si]2(c2ccccc2)c2ccccc2)cc1,FC(F)(F)c1ccc(C2=Cc3ccccc3[Si]2(c2ccccc2)c2ccccc2)cc1,327.6353421458922,422.0,13.319727069327449,0.77,2.264375495105287,428.52786
2401,COc1ccc(C2=Cc3ccccc3[Si]2(c2ccccc2)c2ccccc2)cc1,COc1ccc(C2=Cc3ccccc3[Si]2(c2ccccc2)c2ccccc2)cc1,704.3720051822826,437.0,11.2216820764631,0.72,2.5189711698888146,390.55668
2402,C1=C(c2ccccn2)[Si](c2ccccc2)(c2ccccc2)c2ccccc21,C1=C(c2ccccn2)[Si](c2ccccc2)(c2ccccc2)c2ccccc21,503.39241322203145,422.0,10.796453654691478,0.7,4.74602881433965,361.51886
2403,c1ccc(C2=C(c3ccccn3)[Si](c3ccccc3)(c3ccccc3)c3ccccc32)cc1,c1ccc(C2=C(c3ccccn3)[Si](c3ccccc3)(c3ccccc3)c3ccccc32)cc1,271.9710631324399,428.0,8.566009694608258,0.52,4.037545030579584,437.61662
2404,CC(C)(C)c1ccc2c(c1)-c1cc3c4c(c5c6c(cc7c8c(c-2c1c4c86)-c1ccc(C(C)(C)C)cc1-7)-c1cc(C(C)(C)C)ccc1-5)-c1ccc(C(C)(C)C)cc1-3,CCCCCC,542.1523448,679.3478261,0.61,0.0037,6.6319719072380705,723.013
2405,CC(C)(C)c1ccc2c(c1)-c1cc3c4c(c5c6c(cc7c8c(c-2c1c4c86)-c1ccc(C(C)(C)C)cc1-7)-c1cc(C(C)(C)C)ccc1-5)-c1ccc(C(C)(C)C)cc1-3,Cc1ccccc1,545.8515284,685.4009596,0.606,0.0043,6.344705502743809,723.013
2406,CC(C)(C)c1ccc2c(c1)-c1cc3c4c(c5c6c(cc7c8c(c-2c1c4c86)-c1ccc(C(C)(C)C)cc1-7)-c1cc(C(C)(C)C)ccc1-5)-c1ccc(C(C)(C)C)cc1-3,CCOCC,541.5651232,679.9020941,0.618,0.0043,3.3332278583145865,723.013
2407,COc1ccc(N(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,299.0,373.0,1.8936,0.03,4.348304863,275.34998
2408,COc1ccc(N(c2ccccc2)c2ccc(OC)cc2)cc1,Cc1ccccc1,300.0,387.0,2.2663,0.03,4.428134794,305.37586
2409,COc1ccc(N(c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1,Cc1ccccc1,397.0,477.0,0.3562,0.06,4.574898989,631.81678
2410,COc1ccc(N(c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)c2ccc(OC)cc2)cc1,Cc1ccccc1,376.0,489.0,0.2548,0.01,4.446070936,483.60926
2411,COc1ccc(N(c2ccc(/C=C(\C)c3ccccc3)cc2)c2ccc(/C=C(\C)c3ccccc3)cc2)cc1,Cc1ccccc1,364.0,435.0,1.5,0.48,4.471658359,507.67502
2412,COc1ccc(N(c2ccc(/C=C(\C)c3ccccc3)cc2)c2ccc(OC)cc2)cc1,Cc1ccccc1,347.0,448.0,2.0,0.41,4.359645793,421.53838
2413,COc1ccc(N(c2ccccc2)c2ccccc2)cc1,COc1ccc(N(c2ccccc2)c2ccccc2)cc1,303.0,373.0,1.4102,0.03,5.091732839357857,275.34998
2414,COc1ccc(N(c2ccccc2)c2ccc(OC)cc2)cc1,COc1ccc(N(c2ccccc2)c2ccc(OC)cc2)cc1,302.0,393.0,3.7554,0.03,1.606077660445694,305.37586
2415,COc1ccc(N(c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1,COc1ccc(N(c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1,399.0,487.0,0.8526,0.07,6.421354440935756,631.81678
2416,COc1ccc(N(c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)c2ccc(OC)cc2)cc1,COc1ccc(N(c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)c2ccc(OC)cc2)cc1,377.0,499.0,1.1502,0.14,2.19971736049131,483.60926
2417,COc1ccc(N(c2ccc(/C=C(\C)c3ccccc3)cc2)c2ccc(/C=C(\C)c3ccccc3)cc2)cc1,COc1ccc(N(c2ccc(/C=C(\C)c3ccccc3)cc2)c2ccc(/C=C(\C)c3ccccc3)cc2)cc1,366.0,452.0,0.7423,0.06,2.9415486757350084,507.67502
2418,COc1ccc(N(c2ccc(/C=C(\C)c3ccccc3)cc2)c2ccc(OC)cc2)cc1,COc1ccc(N(c2ccc(/C=C(\C)c3ccccc3)cc2)c2ccc(OC)cc2)cc1,351.0,466.0,1.6128,0.15,5.4380090581386336,421.53838
2419,COc1ccccc1C#Cc1ccccc1OC,ClCCl,330.0,348.0,3.734927828705504,0.75,1.6124895800332801,238.28516
2420,C1#Cc2ccccc2OCc2ccccc2COc2ccccc21,ClCCl,313.0,352.0,5.429049621235394,0.33,4.301029996,312.36704
2421,C1#Cc2ccccc2OCc2cccc(c2)COc2ccccc21,ClCCl,309.0,350.0,8.986250598265274,0.77,4.238046103,312.36704
2422,Cc1c(C)c(C)c2c(c1C)COc1ccccc1C#Cc1ccccc1OC2,ClCCl,315.0,350.0,11.051633802821232,0.21,4.336459734,368.47456
2423,c1ccc2c(c1)-c1sc3ccccc3c1C21c2ccccc2-c2sc3ccccc3c21,ClCCl,340.0,368.0,13.21924522843457,0.06,3.809972110509577,428.57804
2424,O=S1(=O)C2=C(c3ccccc31)C1(c3ccccc32)c2ccccc2-c2sc3ccccc3c21,ClCCl,360.0,459.0,12.203701056521368,0.01,3.7192783102004645,460.57604
2425,O=S1(=O)C2=C(c3ccccc31)C1(C3=C(c4ccccc41)S(=O)(=O)c1ccccc13)c1ccccc12,ClCCl,360.0,444.0,8.484349710132719,0.76,5.507846965828195,492.57404
2426,CC1(C)c2ccccc2-c2sc3ccccc3c21,ClCCl,330.0,354.0,2.251565560964484,0.11,6.095583775570959,250.36416
2427,CC1(C)C2=C(c3ccccc31)S(=O)(=O)c1ccccc12,ClCCl,355.0,444.0,7.113151624635542,0.46,6.7617231091937695,282.36216
2428,CN(C)c1ccc2c(c1)[Si](C)(C)C1=CC(=[N+](C)C)C=CC1=C2,O,634.0,648.0,9.71984112219677,0.42,6.154332595962256,309.5075
2429,Cc1ccccc1C1=C2C=CC(=[N+](C)C)C=C2[Si](C)(C)c2cc(N(C)C)ccc21,O,646.0,660.0,3.2588531027878886,0.31,6.388406944952055,399.63214
2430,CN(C)c1ccc2c(c1)[Ge](C)(C)C1=CC(=[N+](C)C)C=CC1=C2,O,621.0,634.0,11.128110560976436,0.4,4.993836243419833,354.0315
2431,Cc1ccccc1C1=C2C=CC(=[N+](C)C)C=C2[Ge](C)(C)c2cc(N(C)C)ccc21,O,635.0,649.0,1.3567188407963284,0.34,2.5074631936200946,444.15614
2432,CN(C)c1ccc2c(c1)[Sn](C)(C)C1=CC(=[N+](C)C)C=CC1=C2,O,614.0,628.0,10.064372523059886,0.43,2.2105242343922056,400.1315
2433,Cc1ccc(C2=C3C=CC(=[N+](C)C)C=C3[Si](C)(C)c3cc(N(C)C)ccc32)c(C)c1,O,646.0,660.0,10.431427201036755,0.32,5.716247217266401,413.65902
2434,Cc1ccc(C)c(C2=C3C=CC(=[N+](C)C)C=C3[Si](C)(C)c3cc(N(C)C)ccc32)c1,O,646.0,660.0,11.466750473438255,0.32,2.7058222199929,413.65902
2435,COc1ccccc1C1=C2C=CC(=[N+](C)C)C=C2[Si](C)(C)c2cc(N(C)C)ccc21,O,649.0,663.0,6.717792522491797,0.29,5.507463555477066,415.63114
2436,COc1ccc(C2=C3C=CC(=[N+](C)C)C=C3[Si](C)(C)c3cc(N(C)C)ccc32)c(C)c1,O,648.0,662.0,8.251353551652791,0.29,5.2601503601254525,429.65802
2437,COc1ccc(C)cc1C1=C2C=CC(=[N+](C)C)C=C2[Si](C)(C)c2cc(N(C)C)ccc21,O,649.0,664.0,13.207416583975807,0.28,6.6607325628557055,429.65802
2438,COc1ccc(C2=C3C=CC(=[N+](C)C)C=C3[Si](C)(C)c3cc(N(C)C)ccc32)c(OC)c1,O,649.0,663.0,5.303653902322809,0.2,2.99261266312634,445.65702
2439,COc1ccc(OC)c(C2=C3C=CC(=[N+](C)C)C=C3[Si](C)(C)c3cc(N(C)C)ccc32)c1,O,651.0,665.0,3.0262389286480396,0.025,2.193762995080118,445.65702
2440,Cc1cc(N(C)C)ccc1C1=C2C=CC(=[N+](C)C)C=C2[Si](C)(C)c2cc(N(C)C)ccc21,O,646.0,663.0,11.117138948429355,0.001,6.08776330454837,442.70084
2441,Cc1ccc(N(C)C)cc1C1=C2C=CC(=[N+](C)C)C=C2[Si](C)(C)c2cc(N(C)C)ccc21,O,646.0,662.0,6.774721255107764,0.001,6.2791388768963525,442.70084
2442,O=c1oc2ccc3ccccc3c2nc1-c1ccccc1,CCCCCC,392.0,453.0,10.335664221307413,0.12,4.281941933,273.29034
2443,O=c1oc2ccc3ccccc3c2nc1-c1ccccc1,c1ccccc1,398.0,467.0,2.2,0.46,4.279210513,273.29034
2444,O=c1oc2ccc3ccccc3c2nc1-c1ccccc1,CC#N,392.0,475.0,1.4533993847463353,0.56,4.274619619,273.29034
2445,O=c1oc2ccc3ccccc3c2nc1-c1ccccc1,CO,394.0,476.0,13.74281260734107,0.5,4.270678836,273.29034
2446,O=c1oc2cc3ccccc3cc2nc1-c1ccccc1,CCCCCC,350.0,500.0,11.407401463431588,0.003,4.367169489,273.29034
2447,O=c1oc2cc3ccccc3cc2nc1-c1ccccc1,c1ccccc1,356.0,514.0,1.2,0.003,4.364550995,273.29034
2448,O=c1oc2cc3ccccc3cc2nc1-c1ccccc1,CC#N,348.0,538.0,8.771623212408835,0.003,4.382737266,273.29034
2449,O=c1oc2cc3ccccc3cc2nc1-c1ccccc1,CO,346.0,548.0,3.0719117461179626,0.003,4.373463722,273.29034
