,Diameter (nm),Cell_type,Concentration (g/L),toxicity,Coat,Line_Primary_Cell,Animal,Cell_morphology,Cell_age,Cell_organ,Time (h),Test,Test_indicator,Molecular weight (g/mol),Electronegativity,Elements,Ionic radius
249,30.0,70,1.044902e-05,57.5,52,0,5,3,0,30,96,17,20,208.9804,2.02,3,1.035
250,18.4,94,2.249459756145038e-06,74.747475,27,0,5,2,0,42,24,17,20,231.5326,2.75,11,0.8525
251,437.0,83,8.61631675412035e-10,85.61404,25,0,12,4,0,25,24,17,20,60.0843,2.926666666666666,18,0.54
252,18.4,94,0.1,82.545,27,0,5,2,1,18,48,17,7,231.5326,2.75,11,0.8525
253,22.83,48,0.002,83.404,0,0,5,2,1,16,24,17,7,79.5454,2.67,10,0.82
254,10.0,91,0.005,96.535,36,0,5,2,1,4,24,17,7,231.5326,2.75,11,0.8525
255,40.0,61,5.100385591690454e-10,91.870964,0,0,5,2,0,35,24,9,9,107.8682,1.93,0,1.086666666666667
256,36.0,6,1.501738098930956e-07,65.52901,0,0,5,2,0,41,24,18,21,231.5326,2.75,11,0.8525
257,61.46,16,0.0002,46.853,0,0,5,3,4,21,24,16,7,196.966569,2.54,2,1.07
258,639.0,30,1.368414584861392e-12,26.91289999999999,0,1,5,0,0,38,24,14,15,40.3044,2.375,12,0.86
259,10.0,88,0.001,4.5234,0,0,9,11,1,1,24,14,3,60.0843,2.926666666666666,18,0.54
260,18.0,105,0.0006,100.29,0,0,5,13,4,3,24,19,5,196.966569,2.54,2,1.07
261,30.0,53,0.02,81.993,0,0,9,7,1,1,24,16,7,107.8682,1.93,0,1.086666666666667
262,20.0,70,1.044902e-07,99.411766,25,0,5,3,0,30,24,15,12,208.9804,2.02,3,1.035
263,10.9,91,0.075,107.06,26,0,5,2,1,4,24,19,5,231.5326,2.75,11,0.8525
264,215.0,0,0.0012,16.377,0,0,5,9,1,3,24,17,7,196.966569,2.54,2,1.07
265,40.0,22,0.025,75.332,0,0,5,2,1,8,48,16,7,79.5454,2.67,10,0.82
266,22.0,36,0.025,38.768,0,0,5,2,1,7,24,19,5,74.69279999999999,2.675,15,0.74
267,145.8,90,7.053159795596625e-11,60.188145,32,0,5,2,0,31,72,15,22,231.5326,2.75,11,0.8525
268,10.9,91,0.025,104.59,26,0,5,2,1,4,24,19,5,231.5326,2.75,11,0.8525
269,30.0,6,0.04,2.5292,0,0,5,2,1,17,48,7,7,79.5454,2.67,10,0.82
270,4.0,50,0.05,93.902,33,0,5,3,1,17,24,12,4,195.084,2.28,16,0.805
271,18.4,94,0.05,80.914,27,0,5,2,1,18,24,17,7,231.5326,2.75,11,0.8525
272,20.0,10,0.0021,152.69,33,0,9,3,3,11,24,23,7,107.8682,1.93,0,1.086666666666667
273,10.9,91,0.005,102.39,26,0,5,2,1,4,3,19,5,231.5326,2.75,11,0.8525
274,21.7,83,3.93933138e-05,95.30382,27,0,12,4,0,25,24,17,20,196.966569,2.54,2,1.07
275,18.4,94,0.01,89.886,27,0,5,2,1,18,48,17,7,231.5326,2.75,11,0.8525
276,28.18,6,0.0098483284499999,100.22272,9,0,5,2,0,41,48,17,20,196.966569,2.54,2,1.07
277,30.0,47,1.044902e-05,63.967613,52,0,5,2,0,34,24,17,20,208.9804,2.02,3,1.035
278,88.5,6,1.129298410761329e-07,31.304348,0,0,5,2,0,41,24,18,21,143.0914,2.413333333333334,10,0.82
279,30.0,93,1.3061595e-05,90.154727,27,0,5,2,0,33,24,15,12,261.2319,2.597272727272728,4,0.3
280,12.0,98,8.109385734227162e-05,104.91329,3,0,9,2,0,33,6,3,9,231.5326,2.75,11,0.8525
281,122.0,6,4.976474853899363e-06,69.72477,0,0,5,2,0,41,4,17,20,1526.45392,2.564830917874396,4,0.3
282,26.0,48,4.531832531674185e-06,53.349617,0,0,5,2,0,40,48,17,20,502.311426,2.658636363636364,5,1.14
283,5.2,33,0.05,87.191,8,0,5,2,1,17,48,5,0,107.8682,1.93,0,1.086666666666667
284,50.0,75,0.001,96.701,0,0,5,3,1,21,72,17,7,196.966569,2.54,2,1.07
285,28.41,45,1.422181672017595e-06,4.255319,0,0,5,5,0,45,24,3,9,107.8682,1.93,0,1.086666666666667
286,28.2,6,0.04,20.0,0,0,5,2,1,17,24,11,0,79.5454,2.67,10,0.82
287,6.0,92,0.05,89.34,0,0,11,3,1,10,24,17,7,79.8658,2.806666666666667,19,0.8516666666666667
288,361.4,87,3.710883029594856e-11,90.333368,28,0,9,11,0,29,72,14,15,231.5326,2.75,11,0.8525
289,34.64,110,0.001,76.377,0,1,9,3,1,21,48,17,7,720.642,2.55,4,0.3
290,25.0,44,0.00625,98.556,0,1,5,0,3,24,24,7,7,79.8658,2.806666666666667,19,0.8516666666666667
291,13.5,50,2.344627640826832e-06,75.09367,33,0,5,3,0,41,48,10,16,195.084,2.28,16,0.805
292,30.0,47,1.044902e-05,46.589905,52,0,5,2,0,34,72,15,12,208.9804,2.02,3,1.035
293,38.0,44,5.456203106556183e-09,98.72727,0,1,5,0,2,48,24,10,16,79.8658,2.806666666666667,19,0.8516666666666667
294,20.0,23,0.05,39.108,0,1,5,3,3,11,72,7,7,107.8682,1.93,0,1.086666666666667
295,29.57,47,0.1,4.8154,0,0,5,2,1,7,48,17,7,107.8682,1.93,0,1.086666666666667
296,93.13,6,1.045741789479143e-05,0.6245297,0,0,5,2,0,41,24,14,15,632.5663,2.586144578313253,4,0.3
297,100.0,23,0.5,-1.5254,0,1,5,3,3,11,48,7,7,107.8682,1.93,0,1.086666666666667
298,10.0,3,0.05,99.523,8,0,5,2,1,17,72,7,7,196.966569,2.54,2,1.07
299,10.0,91,0.2,106.19,36,0,5,2,1,4,24,17,7,231.5326,2.75,11,0.8525
300,639.0,30,8.819107226073392e-12,28.089888,0,1,5,0,0,38,24,17,20,81.4084,2.545,20,0.88
301,11.69,51,3.57957241067705e-07,95.515695,0,0,5,14,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
302,3.6,83,2.612319e-07,41.83267,41,0,12,4,0,25,16,17,20,261.2319,2.597272727272728,4,0.3
303,10.0,61,3.264246778681891e-08,110.451614,0,0,5,2,0,35,24,9,9,107.8682,1.93,0,1.086666666666667
304,598.2,113,2.519347090553039e-11,87.703705,0,1,5,7,0,41,24,22,16,60.0843,2.926666666666666,18,0.54
305,274.1,73,6.804631170809617e-12,82.5811,49,1,5,10,0,29,24,14,15,231.5326,2.75,11,0.8525
306,50.0,32,0.025,92.768,10,0,5,3,1,21,48,16,7,107.8682,1.93,0,1.086666666666667
307,25.0,7,0.06,106.65,0,0,5,2,1,22,6,16,7,79.8658,2.806666666666667,19,0.8516666666666667
308,13.0,10,2.8e-05,99.577,8,0,9,3,3,11,48,19,5,196.966569,2.54,2,1.07
309,40.0,55,0.01,56.258,0,0,5,6,1,4,24,17,7,1526.45392,2.564830917874396,4,0.3
310,12.5,6,0.1,78.642,8,0,5,2,1,17,24,17,7,196.966569,2.54,2,1.07
311,175.0,48,1.486208533209665e-08,94.40923,0,0,5,2,0,40,24,17,20,502.311426,2.658636363636364,5,1.14
312,18.4,94,1.124729878072519e-07,94.44444,27,0,5,2,0,42,48,17,20,231.5326,2.75,11,0.8525
313,4.7,88,0.1,53.561,8,0,9,11,1,1,48,15,6,196.966569,2.54,2,1.07
314,10.9,91,0.025,100.1,26,0,5,2,1,4,3,17,7,231.5326,2.75,11,0.8525
315,10.0,91,0.05,96.287,36,0,5,2,1,4,6,17,7,231.5326,2.75,11,0.8525
316,160.5,7,1.448258892501828e-09,98.4,0,0,5,2,0,46,3,16,20,79.8658,2.806666666666667,19,0.8516666666666667
317,270.0,88,0.1,94.872,8,0,9,11,1,1,48,15,6,196.966569,2.54,2,1.07
318,10.0,40,4.189402539153162e-07,79.76471,0,0,0,0,0,45,24,2,16,70.937445,2.495,13,0.6483333333333333
319,28.41,45,7.110908360087976e-08,46.970684,0,0,5,5,0,45,72,18,21,107.8682,1.93,0,1.086666666666667
320,20.0,78,0.00067,97.107,33,0,12,7,1,17,24,23,7,107.8682,1.93,0,1.086666666666667
321,30.0,87,9.786087107460696e-22,80.30691,0,0,9,11,0,29,96,15,12,58.933195,1.88,8,0.7683333333333334
322,50.0,75,0.015,66.117,0,0,5,3,1,21,72,17,7,196.966569,2.54,2,1.07
323,24.0,6,3.32907414580317e-06,22.544031,0,0,5,2,0,41,48,23,20,81.4084,2.545,20,0.88
324,250.0,38,0.0625,73.214,2,1,5,3,1,13,24,17,7,63.546,1.9,10,0.82
325,957.0,30,7.994032100825752e-12,84.909859,0,1,5,0,0,38,24,14,15,231.5326,2.75,11,0.8525
326,60.0,25,1.028718213833178e-09,75.6413,0,1,5,3,0,45,4,16,20,81.4084,2.545,20,0.88
327,22.0,36,0.1,11.196,0,0,5,2,1,7,24,17,7,74.69279999999999,2.675,15,0.74
328,60.21,8,0.04,40.525,0,0,9,7,1,4,24,7,7,81.4084,2.545,20,0.88
329,4.0,50,0.025,92.927,33,0,5,3,1,17,48,12,4,195.084,2.28,16,0.805
330,21.0,88,0.05,95.155,0,0,9,11,1,1,24,23,7,12.0107,2.55,4,0.3
331,18.0,70,0.0003,95.07,0,0,5,3,1,3,24,19,5,196.966569,2.54,2,1.07
332,265.0,6,3.468451678904042e-07,86.60551,0,0,5,2,0,41,4,17,20,1526.45392,2.564830917874396,4,0.3
333,21.06,76,0.2,38.049,0,0,9,3,3,11,24,17,7,60.0843,2.926666666666666,18,0.54
334,19.4,1,0.008,101.06,0,1,5,2,1,20,24,7,7,60.0843,2.926666666666666,18,0.54
335,239.0,30,5.856967832054559e-11,46.067417,0,1,5,0,0,38,12,17,20,79.5454,2.67,10,0.82
336,20.0,61,2.040154236676182e-08,109.41936,0,0,5,2,0,35,24,9,9,107.8682,1.93,0,1.086666666666667
337,20.0,22,5.752640123947877e-07,0.26336914,51,0,5,2,0,35,36,9,9,81.4084,2.545,20,0.88
338,88.5,85,1.129886539051926e-07,21.16402,0,0,5,7,0,29,24,18,21,143.0914,2.413333333333334,10,0.82
339,29.57,47,0.04,8.6677,0,0,5,2,1,7,48,17,7,107.8682,1.93,0,1.086666666666667
340,18.0,0,0.0012,85.484,0,0,5,9,1,3,24,17,7,196.966569,2.54,2,1.07
341,170.0,67,2.28178604498181e-08,86.95652,16,0,1,2,0,39,24,17,20,231.5326,2.75,11,0.8525
342,50.0,75,0.005,84.264,0,0,5,3,1,21,24,17,7,196.966569,2.54,2,1.07
343,240.0,113,1.56046307567946e-09,87.111115,0,1,5,7,0,41,24,22,16,60.0843,2.926666666666666,18,0.54
344,21.0,21,6.982458198892639e-08,100.11429,40,0,5,2,0,42,24,18,21,196.966569,2.54,2,1.07
345,82.73,99,0.0025,30.343,23,0,5,10,1,2,48,5,0,107.8682,1.93,0,1.086666666666667
346,50.0,6,0.1,35.162,10,0,5,2,1,17,48,16,7,107.8682,1.93,0,1.086666666666667
347,28.41,47,1.137745337614076e-07,18.305084,0,0,5,2,0,34,24,17,20,107.8682,1.93,0,1.086666666666667
348,18.4,94,2.249459756145038e-07,91.91919,27,0,5,2,0,42,24,17,20,231.5326,2.75,11,0.8525
349,29.5,22,4.383425429517946e-07,100.54054,0,0,5,2,0,35,4,22,16,60.0843,2.926666666666666,18,0.54
350,28.0,48,0.01,38.889,0,0,5,2,1,16,48,17,7,79.5454,2.67,10,0.82
351,375.4,83,5.300877514500292e-12,95.21739,34,0,12,4,0,25,12,17,20,60.0843,2.926666666666666,18,0.54
352,25.0,6,0.005,69.437,0,0,5,2,1,17,4,7,7,196.966569,2.54,2,1.07
353,67.0,6,1.91268211979129e-08,55.18591,0,0,5,2,0,41,48,23,20,81.4084,2.545,20,0.88
354,18.0,70,0.0025,80.025,0,0,5,3,1,3,24,19,5,196.966569,2.54,2,1.07
355,29.57,47,0.08,1.6639,0,0,5,2,1,7,48,5,0,107.8682,1.93,0,1.086666666666667
356,1.4,22,0.02612319,2.578125,0,0,5,2,0,35,24,17,20,261.2319,2.597272727272728,4,0.3
357,22.0,36,0.002,80.407,0,0,5,2,1,7,24,17,7,74.69279999999999,2.675,15,0.74
358,50.0,5,0.008,74.951,0,0,5,2,1,21,48,19,5,79.8658,2.806666666666667,19,0.8516666666666667
359,3.0,34,0.0095610999999999,89.31298,0,0,5,2,2,39,48,23,20,95.61099999999999,2.24,10,0.82
360,38.0,44,1.091240621311237e-07,98.181816,0,1,5,0,2,48,24,13,15,79.8658,2.806666666666667,19,0.8516666666666667
361,30.0,88,0.00625,97.079,27,0,9,11,1,1,48,16,7,231.5326,2.75,11,0.8525
362,361.4,90,9.277207573987139e-12,88.25786,28,0,5,2,0,31,72,9,9,231.5326,2.75,11,0.8525
363,29.57,46,1.0,22.939,0,0,5,5,1,21,72,19,5,107.8682,1.93,0,1.086666666666667
364,361.4,90,4.631182020934381e-12,92.11166,28,0,5,2,0,31,1,14,15,231.5326,2.75,11,0.8525
365,28.18,6,0.0984832844999999,99.688194,9,0,5,2,0,41,24,17,20,196.966569,2.54,2,1.07
366,145.8,87,2.825785174517878e-10,76.22088,32,0,9,11,0,29,72,15,22,231.5326,2.75,11,0.8525
367,957.0,30,7.994032100825752e-12,97.75281,0,1,5,0,0,38,12,17,20,231.5326,2.75,11,0.8525
368,33.69,89,0.002,121.65,0,0,12,0,1,12,24,16,7,196.966569,2.54,2,1.07
369,20.0,37,0.75,39.665,0,0,5,3,4,17,48,17,7,81.4084,2.545,20,0.88
370,93.13,6,2.614354473697857e-06,56.041138,0,0,5,2,0,41,24,17,20,632.5663,2.586144578313253,4,0.3
371,28.41,47,5.688726688070381e-08,57.916668,0,0,5,2,0,34,24,3,9,107.8682,1.93,0,1.086666666666667
372,274.1,94,3.402315585404808e-11,83.333336,49,0,5,2,0,42,24,17,20,231.5326,2.75,11,0.8525
373,239.0,30,2.928483916027276e-35,98.8764,0,1,5,0,0,38,12,17,20,79.5454,2.67,10,0.82
374,639.0,30,6.842072924306959e-12,70.786514,0,1,5,0,0,38,24,17,20,40.3044,2.375,12,0.86
375,6.0,27,0.1,72.85,0,0,5,2,1,17,24,17,7,196.966569,2.54,2,1.07
376,386.9,83,7.759786908531116e-11,100.434784,6,0,12,4,0,25,12,17,20,60.0843,2.926666666666666,18,0.54
377,15.0,46,0.06,7.8611,0,0,5,5,1,21,24,7,7,60.0843,2.926666666666666,18,0.54
378,25.0,44,1.5021075e-10,108.29269,0,1,5,0,2,48,48,4,9,60.0843,2.926666666666666,18,0.54
379,50.0,71,0.001,91.342,0,1,9,7,1,19,24,17,7,81.4084,2.545,20,0.88
380,60.0,25,1.649646044349628e-08,25.90524,0,1,5,3,0,45,24,16,20,81.4084,2.545,20,0.88
381,13.5,50,2.344627640826832e-06,33.861286,19,0,5,3,0,41,24,10,16,195.084,2.28,16,0.805
382,120.0,67,2.595003434952692e-07,97.391304,27,0,1,2,0,39,24,17,20,231.5326,2.75,11,0.8525
383,361.4,90,1.855441514797428e-11,92.141609,28,0,5,2,0,31,1,14,15,231.5326,2.75,11,0.8525
384,50.0,5,8e-05,93.836,0,0,5,2,1,21,24,19,5,79.8658,2.806666666666667,19,0.8516666666666667
385,100.0,63,5.987855537259018e-09,92.93233,0,1,5,6,0,29,3,15,22,79.8658,2.806666666666667,19,0.8516666666666667
386,28.33,108,0.0001,51.13,0,1,5,3,1,23,48,17,7,231.5326,2.75,11,0.8525
387,17.0,29,2.13719453627795e-07,37.466064,0,1,5,0,0,26,24,10,16,58.933195,1.88,8,0.7683333333333334
388,145.8,87,5.651570349035755e-10,85.48387,32,0,9,11,0,29,72,9,9,231.5326,2.75,11,0.8525
389,61.46,89,0.0002,99.394,0,0,12,0,1,12,24,16,7,196.966569,2.54,2,1.07
390,20.3,59,0.8,96.943,0,0,9,3,1,9,24,17,7,172.1148,2.666666666666667,7,1.08
391,124.9,5,2.458521360223581e-09,92.69841,0,0,5,2,0,45,6,17,20,79.8658,2.806666666666667,19,0.8516666666666667
392,50.0,46,0.4,22.253,0,0,5,5,1,21,4,17,7,60.0843,2.926666666666666,18,0.54
393,145.8,87,5.651570349035755e-10,62.261574,32,0,9,11,0,29,120,15,22,231.5326,2.75,11,0.8525
394,145.8,90,2.825785174517878e-10,19.618906,32,0,5,2,0,31,168,15,22,231.5326,2.75,11,0.8525
395,29.57,47,0.2,49.846,0,0,5,2,1,7,24,19,5,107.8682,1.93,0,1.086666666666667
396,18.0,70,0.005,66.244,0,0,5,3,1,3,24,17,7,196.966569,2.54,2,1.07
397,20.0,59,0.005,81.818,0,0,9,3,1,9,72,7,7,107.8682,1.93,0,1.086666666666667
398,98.4,6,3.128580461701915e-05,7.8324227,0,0,5,2,0,41,24,17,20,632.5663,2.586144578313253,4,0.3
399,60.0,28,8.140840000000001e-06,98.37004,0,0,5,2,0,32,48,15,12,81.4084,2.545,20,0.88
400,25.0,64,0.025,100.0,0,0,5,2,1,6,24,19,5,172.1148,2.666666666666667,7,1.08
401,28.41,45,2.84436334403519e-07,9.1694355,0,0,5,5,0,45,48,17,20,107.8682,1.93,0,1.086666666666667
402,175.0,57,1.486208533209665e-08,94.60315,0,0,5,2,2,40,48,17,20,502.311426,2.658636363636364,5,1.14
403,52.51,6,0.01,85.0,0,0,5,2,1,17,24,19,5,79.5454,2.67,10,0.82
404,15.0,48,4.660294563170152e-08,111.41829,0,0,5,2,0,40,24,18,21,104.14912,2.375,4,0.3
405,6.0,6,0.4,30.264,0,0,5,2,1,17,24,17,7,196.966569,2.54,2,1.07
406,21.06,6,0.01,58.542,0,0,5,2,1,17,72,17,7,60.0843,2.926666666666666,18,0.54
407,34.64,110,0.1,75.797,0,1,9,3,1,21,48,17,7,720.642,2.55,4,0.3
408,160.5,7,2.172388338752741e-09,101.6,0,0,5,2,0,46,3,16,20,79.8658,2.806666666666667,19,0.8516666666666667
409,10.9,91,0.175,106.44,26,0,5,2,1,4,24,17,7,231.5326,2.75,11,0.8525
410,50.0,6,0.025,75.561,11,0,5,2,1,17,48,16,7,107.8682,1.93,0,1.086666666666667
411,145.8,90,2.825785174517878e-10,31.248158,32,0,5,2,0,31,72,15,22,231.5326,2.75,11,0.8525
412,10.0,83,2.846977633953132e-06,99.70588,44,0,12,4,0,25,24,4,9,261.2319,2.597272727272728,4,0.3
413,24.6,35,0.06,98.423,0,0,5,2,3,15,6,19,5,195.084,2.28,16,0.805
414,47.83,51,4.180839831448549e-08,93.2735424,0,0,5,14,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
415,50.0,32,0.025,84.319,10,0,5,3,1,21,72,16,7,107.8682,1.93,0,1.086666666666667
416,28.2,6,0.005,124.78,0,0,5,2,1,17,4,11,0,79.5454,2.67,10,0.82
417,120.0,6,0.05,89.431,5,0,5,2,1,17,96,17,7,60.0843,2.926666666666666,18,0.54
418,6.0,6,0.002,71.915,0,0,5,2,1,17,72,17,7,231.5326,2.75,11,0.8525
419,13.5,50,2.344627640826832e-06,29.444946,19,0,5,3,0,41,48,10,16,195.084,2.28,16,0.805
420,13.5,47,4.689255281653665e-06,56.576576,33,0,5,2,0,34,48,10,16,195.084,2.28,16,0.805
421,19.4,6,0.016,98.622,15,0,5,2,1,17,24,7,7,60.0843,2.926666666666666,18,0.54
422,8.0,17,0.407042,43.79845,0,1,5,6,0,29,24,15,17,81.4084,2.545,20,0.88
423,19.1,99,0.2,23.143,0,0,5,10,1,2,24,17,7,60.0843,2.926666666666666,18,0.54
424,100.0,46,0.06,17.185,0,0,5,5,1,21,24,7,7,60.0843,2.926666666666666,18,0.54
425,4.0,47,0.4,55.924,33,0,5,2,1,7,48,12,4,195.084,2.28,16,0.805
426,21.8,48,0.4741,88.451,0,0,5,2,1,16,24,17,7,107.8682,1.93,0,1.086666666666667
427,5.0,6,0.05,70.29,8,0,5,2,1,17,72,7,7,196.966569,2.54,2,1.07
428,24.6,35,0.18,93.205,0,0,5,2,3,15,6,19,5,195.084,2.28,16,0.805
429,50.0,75,0.015,68.782,0,0,5,3,1,21,24,17,7,196.966569,2.54,2,1.07
430,18.0,102,0.5,80.0,16,0,7,2,1,15,24,17,7,231.5326,2.75,11,0.8525
431,20.0,70,1.044902e-05,91.0124,27,0,5,3,0,30,24,17,20,208.9804,2.02,3,1.035
432,18.4,94,1.124729878072519e-08,89.89899,27,0,5,2,0,42,24,17,20,231.5326,2.75,11,0.8525
433,28.41,45,7.110908360087976e-08,65.667755,0,0,5,5,0,45,48,18,21,107.8682,1.93,0,1.086666666666667
434,4.7,111,0.0875,67.733,0,0,9,12,1,5,24,17,7,172.1148,2.666666666666667,7,1.08
435,28.18,6,0.0098483284499999,98.35189,9,0,5,2,0,41,24,17,20,196.966569,2.54,2,1.07
436,10.0,47,1.108785902936064e-05,95.0,0,0,5,2,0,34,24,1,16,107.8682,1.93,0,1.086666666666667
437,27.7,46,0.005,85.031,27,0,5,5,1,21,48,17,7,107.8682,1.93,0,1.086666666666667
438,15.84,22,0.06,15.11,0,0,5,2,1,8,48,17,7,79.8658,2.806666666666667,19,0.8516666666666667
439,239.0,30,5.996465006486421e-11,32.2621,0,1,5,0,0,38,24,14,15,101.9612772,2.708,1,0.675
440,17.0,44,4.2743890725559e-09,87.9638,0,1,5,0,2,48,24,10,16,58.933195,1.88,8,0.7683333333333334
441,27.17,6,0.0098483284499999,95.94655,9,0,5,2,0,41,24,17,20,196.966569,2.54,2,1.07
442,8.0,96,0.8140839999999999,34.63439,0,1,5,6,0,29,24,15,17,81.4084,2.545,20,0.88
443,40.0,3,0.05,105.49,8,0,5,2,1,17,72,7,7,196.966569,2.54,2,1.07
444,100.33,6,0.05,54.214,0,0,5,2,1,17,72,17,7,60.0843,2.926666666666666,18,0.54
445,28.41,47,3.555454180043988e-07,4.0677967,0,0,5,2,0,34,48,17,20,107.8682,1.93,0,1.086666666666667
446,160.5,7,1.158607114001462e-09,128.8,0,0,5,2,0,46,6,16,20,79.8658,2.806666666666667,19,0.8516666666666667
447,18.0,67,0.5,118.08,16,0,3,2,1,15,24,17,7,231.5326,2.75,11,0.8525
448,33.69,16,0.0004,78.551,0,0,5,3,4,21,96,16,7,196.966569,2.54,2,1.07
449,120.0,4,0.05,90.15,5,0,5,2,1,18,96,17,7,60.0843,2.926666666666666,18,0.54
450,10.0,91,0.01,101.73,36,0,5,2,1,4,6,17,7,231.5326,2.75,11,0.8525
451,42.5,30,0.02,92.131,0,1,5,2,1,14,24,17,7,231.5326,2.75,11,0.8525
452,90.0,22,0.01,27.99,0,0,5,2,1,8,24,7,7,81.4084,2.545,20,0.88
453,10.0,22,0.025,64.721,0,0,5,2,1,8,48,16,7,79.5454,2.67,10,0.82
454,40.0,55,0.015,58.645,0,0,5,6,1,4,12,17,7,1526.45392,2.564830917874396,4,0.3
455,30.0,46,0.02,74.771,0,0,5,5,1,21,24,7,7,60.0843,2.926666666666666,18,0.54
456,98.4,6,1.769085517385895e-05,7.8324227,0,0,5,2,0,41,24,17,20,632.5663,2.586144578313253,4,0.3
457,29.57,46,0.05,64.655,0,0,5,5,1,21,24,5,0,107.8682,1.93,0,1.086666666666667
458,52.51,6,6.90320069604794e-09,68.67281,0,0,5,2,0,41,24,18,21,79.5454,2.67,10,0.82
459,386.9,83,3.103914763412446e-10,79.565216,6,0,12,4,0,25,12,17,20,60.0843,2.926666666666666,18,0.54
460,38.0,29,1.091240621311237e-07,80.181816,0,1,5,0,0,26,24,10,16,79.8658,2.806666666666667,19,0.8516666666666667
461,10.0,88,1.0,9.6931,0,0,9,11,1,1,24,15,6,60.0843,2.926666666666666,18,0.54
462,75.0,63,2.727177540241956e-08,84.01914,0,1,5,6,0,29,3,15,22,81.4084,2.545,20,0.88
463,47.3,33,0.05,89.663,8,0,5,2,1,17,48,5,0,107.8682,1.93,0,1.086666666666667
464,28.41,47,2.133272508026393e-07,53.245033,0,0,5,2,0,34,24,18,21,107.8682,1.93,0,1.086666666666667
465,24.0,40,6.061056914284088e-08,64.948456,27,0,0,0,0,45,24,2,16,70.937445,2.495,13,0.6483333333333333
466,30.0,87,8.634155399995487e-23,79.795395,0,0,9,11,0,29,96,15,12,51.9961,1.66,9,0.94
467,15.84,6,0.0001,89.374,0,0,5,2,1,17,48,17,7,79.8658,2.806666666666667,19,0.8516666666666667
468,21.0,21,3.840352009390952e-07,91.62393,8,0,5,2,0,42,36,18,21,196.966569,2.54,2,1.07
469,196.4,6,1.849725341605939e-09,93.7379,0,0,5,2,0,41,24,3,9,231.5326,2.75,11,0.8525
470,12.5,43,0.00312,98.236,0,0,5,2,1,8,24,17,7,172.1148,2.666666666666667,7,1.08
471,30.0,75,0.005,80.584,0,0,5,3,1,21,48,17,7,196.966569,2.54,2,1.07
472,20.12,64,0.0025,95.0,0,0,5,2,1,6,24,17,7,195.084,2.28,16,0.805
473,124.9,5,2.458521360223581e-09,65.0,0,0,5,2,0,45,48,18,21,79.8658,2.806666666666667,19,0.8516666666666667
474,28.0,20,3.729193447288952e-07,79.43144,0,0,13,2,0,42,24,17,20,101.9612772,2.708,1,0.675
475,21.0,7,0.12,95.077,0,0,5,2,1,22,3,16,7,79.8658,2.806666666666667,19,0.8516666666666667
476,361.4,90,3.710883029594856e-11,0.0,28,0,5,2,0,31,168,15,22,231.5326,2.75,11,0.8525
477,34.64,110,0.05,100.0,0,1,9,3,1,21,6,17,7,720.642,2.55,4,0.3
478,30.0,6,0.005,101.16,0,0,5,2,1,17,24,7,7,81.4084,2.545,20,0.88
479,60.0,25,1.57282017467654e-11,90.99897,0,1,5,3,0,45,24,16,20,81.4084,2.545,20,0.88
480,6.0,92,0.1,87.31,0,0,11,3,1,10,24,17,7,79.8658,2.806666666666667,19,0.8516666666666667
481,82.73,99,0.005,33.889,23,0,5,10,1,2,24,5,0,107.8682,1.93,0,1.086666666666667
482,29.5,22,6.979248689162231e-06,12.972973,0,0,5,2,0,35,4,22,16,60.0843,2.926666666666666,18,0.54
483,50.0,6,0.05,77.238,11,0,5,2,1,17,24,16,7,107.8682,1.93,0,1.086666666666667
484,274.1,94,6.804631170809616e-11,91.91919,49,0,5,2,0,42,24,17,20,231.5326,2.75,11,0.8525
485,38.0,44,1.091240621311237e-07,88.36364,0,1,5,0,2,48,24,6,14,79.8658,2.806666666666667,19,0.8516666666666667
486,30.0,73,5.190006869905383e-08,96.25,16,1,5,10,0,29,72,18,21,231.5326,2.75,11,0.8525
487,28.41,45,1.422181672017595e-06,35.114006,0,0,5,5,0,45,24,18,21,107.8682,1.93,0,1.086666666666667
488,65.17,6,0.01,28.478,0,0,5,2,1,17,48,17,7,58.6934,1.91,15,0.74
489,120.0,64,0.05,96.138,5,0,5,2,1,6,96,17,7,60.0843,2.926666666666666,18,0.54
490,61.46,16,0.004,79.487,0,0,5,3,4,21,24,16,7,196.966569,2.54,2,1.07
491,18.76,8,0.005,83.677,0,0,9,7,1,4,24,7,7,81.4084,2.545,20,0.88
492,29.57,46,0.1,22.069,0,0,5,5,1,21,48,5,0,107.8682,1.93,0,1.086666666666667
493,160.5,7,1.448258892501828e-09,139.2,0,0,5,2,0,46,6,16,20,79.8658,2.806666666666667,19,0.8516666666666667
494,27.17,74,0.0098483284499999,101.82628,9,0,5,2,0,41,48,17,20,196.966569,2.54,2,1.07
495,10.9,91,0.15,101.54,26,0,5,2,1,4,6,17,7,231.5326,2.75,11,0.8525
496,120.0,4,0.05,81.081,0,0,5,2,1,18,96,17,7,60.0843,2.926666666666666,18,0.54
497,30.0,73,5.190006869905383e-09,93.42282,16,1,5,10,0,29,72,17,20,231.5326,2.75,11,0.8525
498,17.0,29,4.2743890725559e-09,102.08145,0,1,5,0,0,26,24,6,14,58.933195,1.88,8,0.7683333333333334
499,18.0,0,0.0003,101.63,0,0,5,9,1,3,24,19,5,196.966569,2.54,2,1.07
